ID,MUN,NUM_IND,SITIO,POP,ALT,Categ.Altitud,NOM_IND,X,Y,long,lat,specie
PZ.01,IXTLAN,1,SITIO1,POP1,2930,2,PZ_01,772634,1924804,-96.434,17.3925,Qmacdougallii
PZ.02,IXTLAN,2,SITIO1,POP1,2940,2,PZ_02,772623,1924802,-96.4341,17.3925,Qmacdougallii
PZ.03,IXTLAN,3,SITIO1,POP1,2950,2,PZ_03,772591,1924812,-96.4344,17.3926,Qmacdougallii
PZ.04,IXTLAN,4,SITIO1,POP1,3083,4,PZ_04,771086,1923250,-96.4488,17.3787,Qmacdougallii
PZ.05,IXTLAN,5,SITIO1,POP1,3079,4,PZ_05,771094,1923336,-96.4487,17.3794,Qmacdougallii
PZ.06,IXTLAN,6,SITIO1,POP1,3069,4,PZ_06,771108,1923355,-96.4485,17.3796,Qmacdougallii
PZ.07,IXTLAN,7,SITIO1,POP1,3073,4,PZ_07,771109,1923452,-96.4485,17.3805,Qmacdougallii
PZ.08,IXTLAN,8,SITIO1,POP1,3085,4,PZ_08,771070,1923421,-96.4489,17.3802,Qmacdougallii
PZ.09,IXTLAN,9,SITIO1,POP1,3080,4,PZ_09,771074,1923421,-96.4488,17.3802,Qmacdougallii
PZ.10,IXTLAN,10,SITIO1,POP1,3075,4,PZ_10,771070,1923421,-96.4489,17.38,Qmacdougallii
PZ.11,IXTLAN,11,SITIO1,POP1,3070,4,PZ_11,771071,1923425,-96.4488,17.3803,Qmacdougallii
PZ.12,IXTLAN,12,SITIO1,POP1,3070,4,PZ_12,771130,1923421,-96.4483,17.3802,Qmacdougallii
PZ.13,IXTLAN,13,SITIO1,POP1,3070,4,PZ_13,771155,1923410,-96.4481,17.3801,Qmacdougallii
PZ.14,IXTLAN,14,SITIO1,POP1,3070,4,PZ_14,771164,1923399,-96.448,17.38,Qmacdougallii
PZ.15,IXTLAN,15,SITIO1,POP1,3071,4,PZ_15,771168,1923416,-96.448,17.3802,Qmacdougallii
CR.01,IXTLAN,16,SITIO2,POP1,3074,4,CR_16,771126,1923442,-96.4484,17.3804,Qmacdougallii
CR.02,IXTLAN,17,SITIO2,POP1,3071,4,CR_17,771157,1923446,-96.4481,17.3804,Qmacdougallii
CR.03,IXTLAN,18,SITIO2,POP1,3069,4,CR_18,771178,1923450,-96.4479,17.3805,Qmacdougallii
CR.04,IXTLAN,19,SITIO2,POP1,3068,4,CR_19,771195,1923448,-96.4477,17.3804,Qmacdougallii
CR.05,IXTLAN,20,SITIO2,POP1,3065,4,CR_20,771230,1923452,-96.4474,17.3805,Qmacdougallii
CR.06,IXTLAN,21,SITIO2,POP1,3039,4,CR_21,771505,1923430,-96.4448,17.3802,Qmacdougallii
CR.07,IXTLAN,22,SITIO2,POP1,3034,4,CR_22,771547,1923448,-96.4444,17.3804,Qmacdougallii
CR.08,IXTLAN,23,SITIO2,POP1,2980,3,CR_23,771849,1923593,-96.4415,17.3817,Qmacdougallii
CR.09,IXTLAN,24,SITIO2,POP1,2981,3,CR_24,771854,1923576,-96.4415,17.3815,Qmacdougallii
CR.10,IXTLAN,25,SITIO2,POP1,2980,3,CR_25,771867,1923572,-96.4414,17.3815,Qmacdougallii
LS.01,IXTLAN,26,SITIO3,POP1,2963,3,LS_26,767827,1924939,-96.4792,17.3943,Qmacdougallii
LS.02,IXTLAN,27,SITIO3,POP1,2968,3,LS_27,767840,1924924,-96.4791,17.3942,Qmacdougallii
LS.03,IXTLAN,28,SITIO3,POP1,2976,3,LS_28,767851,1924926,-96.479,17.3942,Qmacdougallii
LS.04,IXTLAN,29,SITIO3,POP1,2976,3,LS_29,767854,1924920,-96.4789,17.3941,Qmacdougallii
MC.01,COMALTEPEC,30,SITIO4,POP2,2896,2,MC_31,764580,1945401,-96.5072,17.5795,Qmacdougallii
MC.02,COMALTEPEC,31,SITIO4,POP2,2960,3,MC_32,764571,1945405,-96.5073,17.5795,Qmacdougallii
MC.03,COMALTEPEC,32,SITIO4,POP2,2969,3,MC_33,764564,1945443,-96.5074,17.5799,Qmacdougallii
MC.04,COMALTEPEC,33,SITIO4,POP2,2974,3,MC_34,764548,1945445,-96.5075,17.5799,Qmacdougallii
MC.05,COMALTEPEC,34,SITIO4,POP2,2992,3,MC_35,764508,1945510,-96.5079,17.5805,Qmacdougallii
MC.06,COMALTEPEC,35,SITIO4,POP2,2999,3,MC_36,764481,1945572,-96.5081,17.581,Qmacdougallii
MC.07,COMALTEPEC,36,SITIO4,POP2,2996,3,MC_37,764390,1945620,-96.509,17.5815,Qmacdougallii
MC.08,COMALTEPEC,37,SITIO4,POP2,2986,3,MC_38,764335,1945653,-96.5095,17.5818,Qmacdougallii
MC.09,COMALTEPEC,38,SITIO4,POP2,2969,3,MC_39,764287,1945704,-96.5099,17.5823,Qmacdougallii
MC.10,COMALTEPEC,39,SITIO4,POP2,2963,3,MC_40,764248,1945719,-96.5103,17.5824,Qmacdougallii
MB.01,COMALTEPEC,40,SITIO5,POP2,2894,2,MB_41,764329,1945445,-96.5096,17.5799,Qmacdougallii
MB.02,COMALTEPEC,41,SITIO5,POP2,2882,2,MB_42,764303,1945434,-96.5098,17.5798,Qmacdougallii
MB.03,COMALTEPEC,42,SITIO5,POP2,2871,2,MB_43,764275,1945415,-96.5101,17.5796,Qmacdougallii
MB.04,COMALTEPEC,43,SITIO5,POP2,2867,2,MB_44,764282,1945378,-96.51,17.5793,Qmacdougallii
MB.05,COMALTEPEC,44,SITIO5,POP2,2881,2,MB_45,764436,1945226,-96.5086,17.5779,Qmacdougallii
MB.06,COMALTEPEC,45,SITIO5,POP2,2904,2,MB_46,764479,1945290,-96.5082,17.5785,Qmacdougallii
MB.07,COMALTEPEC,46,SITIO5,POP2,2898,2,MB_47,764414,1945316,-96.5088,17.5787,Qmacdougallii
MB.08,COMALTEPEC,47,SITIO5,POP2,2893,2,MB_48,764381,1945336,-96.5091,17.5789,Qmacdougallii
MB.09,COMALTEPEC,48,SITIO5,POP2,2916,2,MB_49,764393,1945382,-96.509,17.5793,Qmacdougallii
MB.10,COMALTEPEC,49,SITIO5,POP2,2930,2,MB_50,764456,1945386,-96.5084,17.5794,Qmacdougallii
CY.01,COMALTEPEC,50,SITIO6,POP2,2779,1,CY_51,763684,1945617,-96.5156,17.5815,Qmacdougallii
CY.02,COMALTEPEC,51,SITIO6,POP2,2775,1,CY_52,763770,1945600,-96.5148,17.5814,Qmacdougallii
CY.03,COMALTEPEC,52,SITIO6,POP2,2767,1,CY_53,763746,1945552,-96.515,17.5809,Qmacdougallii
CY.04,COMALTEPEC,53,SITIO6,POP2,2779,1,CY_54,763736,1945545,-96.5151,17.5809,Qmacdougallii
CY.05,COMALTEPEC,54,SITIO6,POP2,2771,1,CY_55,763738,1945532,-96.5151,17.5808,Qmacdougallii
CY.06,COMALTEPEC,55,SITIO6,POP2,2772,1,CY_56,763672,1945569,-96.5157,17.5811,Qmacdougallii
CY.07,COMALTEPEC,56,SITIO6,POP2,2766,1,CY_57,763651,1945578,-96.5159,17.5812,Qmacdougallii
CY.08,COMALTEPEC,57,SITIO6,POP2,2803,1,CY_58,763999,1945510,-96.5127,17.5805,Qmacdougallii
CY.09,COMALTEPEC,58,SITIO6,POP2,2812,2,CY_59,764034,1945463,-96.5123,17.5801,Qmacdougallii
CY.10,COMALTEPEC,59,SITIO6,POP2,2839,2,CY_60,764167,1945277,-96.5111,17.5784,Qmacdougallii
MT.01,COMALTEPEC,60,SITIO7,POP2,2721,1,MT_61,764932,1945985,-96.5038,17.5847,Qmacdougallii
MT.02,COMALTEPEC,61,SITIO7,POP2,2710,1,MT_62,765026,1945968,-96.5029,17.5845,Qmacdougallii
MT.03,COMALTEPEC,62,SITIO7,POP2,2691,1,MT_63,765124,1945926,-96.502,17.5842,Qmacdougallii
MT.04,COMALTEPEC,63,SITIO7,POP2,2720,1,MT_64,765143,1945930,-96.5018,17.5842,Qmacdougallii
MT.05,COMALTEPEC,64,SITIO7,POP2,2714,1,MT_65,765170,1945911,-96.5016,17.584,Qmacdougallii
MT.06,COMALTEPEC,65,SITIO7,POP2,2704,1,MT_66,765094,1945908,-96.5023,17.584,Qmacdougallii
MT.07,COMALTEPEC,66,SITIO7,POP2,2727,1,MT_67,764836,1946023,-96.5047,17.5851,Qmacdougallii
MT.08,COMALTEPEC,67,SITIO7,POP2,2734,1,MT_68,764756,1946078,-96.5055,17.5856,Qmacdougallii
MT.09,COMALTEPEC,68,SITIO7,POP2,2742,1,MT_69,764655,1946076,-96.5064,17.5856,Qmacdougallii
MT.10,COMALTEPEC,69,SITIO7,POP2,2747,1,MT_70,764613,1946064,-96.5068,17.5855,Qmacdougallii
CZ.01,YOLOX,70,SITIO8,POP2,2725,1,CZ_71,761841,1948934,-96.5326,17.6117,Qmacdougallii
CZ.02,YOLOX,71,SITIO8,POP2,2800,1,CZ_72,761979,1949047,-96.5313,17.6127,Qmacdougallii
CZ.03,YOLOX,72,SITIO8,POP2,2827,2,CZ_73,762031,1949089,-96.5308,17.6131,Qmacdougallii
CZ.04,YOLOX,73,SITIO8,POP2,2850,2,CZ_74,762074,1949091,-96.5304,17.6131,Qmacdougallii
CZ.05,YOLOX,74,SITIO8,POP2,2868,2,CZ_75,762100,1949133,-96.5301,17.6135,Qmacdougallii
CZ.06,YOLOX,75,SITIO8,POP2,2925,2,CZ_76,762323,1949234,-96.528,17.6144,Qmacdougallii
CZ.07,YOLOX,76,SITIO8,POP2,2970,3,CZ_77,762547,1949318,-96.5259,17.6151,Qmacdougallii
CZ.08,YOLOX,77,SITIO8,POP2,2984,3,CZ_78,762667,1949257,-96.5248,17.6145,Qmacdougallii
CZ.09,YOLOX,78,SITIO8,POP2,3021,4,CZ_79,762641,1949085,-96.525,17.613,Qmacdougallii
CZ.10,YOLOX,79,SITIO8,POP2,2990,3,CZ_80,762687,1949332,-96.5246,17.6152,Qmacdougallii
