ID,MUN,NUM_IND,POP,ALT
CR.01,IXTLAN,16,POP2,3074
CR.02,IXTLAN,17,POP2,3071
CR.03,IXTLAN,18,POP2,3069
CR.04,IXTLAN,19,POP2,3068
CR.05,IXTLAN,20,POP2,3065
CR.06,IXTLAN,21,POP2,3039
CR.07,IXTLAN,22,POP2,3034
CR.08,IXTLAN,23,POP2,2980
CR.09,IXTLAN,24,POP2,2981
CR.10,IXTLAN,25,POP2,2980
CY.01,COMALTEPEC,51,POP6,2779
CY.02,COMALTEPEC,52,POP6,2775
CY.03,COMALTEPEC,53,POP6,2767
CY.04,COMALTEPEC,54,POP6,2779
CY.05,COMALTEPEC,55,POP6,2771
CY.06,COMALTEPEC,56,POP6,2772
CY.07,COMALTEPEC,57,POP6,2766
CY.08,COMALTEPEC,58,POP6,2803
CY.09,COMALTEPEC,59,POP6,2812
CY.10,COMALTEPEC,60,POP6,2839
CZ.01,YOLOX,71,POP8,2725
CZ.02,YOLOX,72,POP8,2800
CZ.03,YOLOX,73,POP8,2827
CZ.04,YOLOX,74,POP8,2850
CZ.05,YOLOX,75,POP8,2868
CZ.06,YOLOX,76,POP8,2925
CZ.07,YOLOX,77,POP8,2970
CZ.08,YOLOX,78,POP8,2984
CZ.09,YOLOX,79,POP8,3021
CZ.10,YOLOX,80,POP8,2990
LS.01,IXTLAN,26,POP3,2963
LS.02,IXTLAN,27,POP3,2968
LS.03,IXTLAN,28,POP3,2976
LS.04,IXTLAN,29,POP3,2976
LS.05,IXTLAN,30,POP3,2976
MB.01,COMALTEPEC,41,POP5,2894
MB.02,COMALTEPEC,42,POP5,2882
MB.03,COMALTEPEC,43,POP5,2871
MB.04,COMALTEPEC,44,POP5,2867
MB.05,COMALTEPEC,45,POP5,2881
MB.06,COMALTEPEC,46,POP5,2904
MB.07,COMALTEPEC,47,POP5,2898
MB.08,COMALTEPEC,48,POP5,2893
MB.09,COMALTEPEC,49,POP5,2916
MB.10,COMALTEPEC,50,POP5,2930
MC.01,COMALTEPEC,31,POP4,2896
MC.02,COMALTEPEC,32,POP4,2960
MC.03,COMALTEPEC,33,POP4,2969
MC.04,COMALTEPEC,34,POP4,2974
MC.05,COMALTEPEC,35,POP4,2992
MC.06,COMALTEPEC,36,POP4,2999
MC.07,COMALTEPEC,37,POP4,2996
MC.08,COMALTEPEC,38,POP4,2986
MC.09,COMALTEPEC,39,POP4,2969
MC.10,COMALTEPEC,40,POP4,2963
MT.01,COMALTEPEC,61,POP7,2721
MT.02,COMALTEPEC,62,POP7,2710
MT.03,COMALTEPEC,63,POP7,2691
MT.04,COMALTEPEC,64,POP7,2720
MT.05,COMALTEPEC,65,POP7,2714
MT.06,COMALTEPEC,66,POP7,2704
MT.07,COMALTEPEC,67,POP7,2727
MT.08,COMALTEPEC,68,POP7,2734
MT.09,COMALTEPEC,69,POP7,2742
MT.10,COMALTEPEC,70,POP7,2747
PZ.01,IXTLAN,1,POP1,2930
PZ.02,IXTLAN,2,POP1,2940
PZ.03,IXTLAN,3,POP1,2950
PZ.04,IXTLAN,4,POP1,3083
PZ.05,IXTLAN,5,POP1,3079
PZ.06,IXTLAN,6,POP1,3069
PZ.07,IXTLAN,7,POP1,3073
PZ.08,IXTLAN,8,POP1,3085
PZ.09,IXTLAN,9,POP1,3080
PZ.10,IXTLAN,10,POP1,3075
PZ.11,IXTLAN,11,POP1,3070
PZ.12,IXTLAN,12,POP1,3070
PZ.13,IXTLAN,13,POP1,3070
PZ.14,IXTLAN,14,POP1,3070
PZ.15,IXTLAN,15,POP1,3071
