specie,long,lat
q_macdougallii,-96.50721387,17.5794802
q_macdougallii,-96.50729811,17.57951739
q_macdougallii,-96.50742794,17.57966354
q_macdougallii,-96.50735931,17.57986138
q_macdougallii,-96.50750971,17.57988134
q_macdougallii,-96.50773097,17.58022734
q_macdougallii,-96.50787827,17.58047306
q_macdougallii,-96.50805258,17.58080944
q_macdougallii,-96.50812481,17.58103615
q_macdougallii,-96.50827496,17.58107418
q_macdougallii,-96.50897566,17.58148042
q_macdougallii,-96.50911577,17.58156347
q_macdougallii,-96.50921773,17.58168217
q_macdougallii,-96.50948941,17.58178495
q_macdougallii,-96.50993504,17.58225119
q_macdougallii,-96.51030038,17.58239128
q_macdougallii,-96.50957163,17.57990733
q_macdougallii,-96.50963952,17.57976367
q_macdougallii,-96.50981779,17.57981108
q_macdougallii,-96.50991305,17.57973099
q_macdougallii,-96.51008376,17.57964282
q_macdougallii,-96.51002243,17.57930786
q_macdougallii,-96.50912946,17.5785018
q_macdougallii,-96.5085913,17.57791697
q_macdougallii,-96.5084414,17.57786088
q_macdougallii,-96.50817854,17.57848981
q_macdougallii,-96.50872573,17.57841542
q_macdougallii,-96.5087873,17.57873232
q_macdougallii,-96.50898415,17.57879802
q_macdougallii,-96.50909553,17.57891684
q_macdougallii,-96.50924468,17.5790271
q_macdougallii,-96.50901798,17.57907844
q_macdougallii,-96.50897685,17.57933082
q_macdougallii,-96.50869353,17.57939047
q_macdougallii,-96.50845864,17.57866495
q_macdougallii,-96.5083832,17.57935946
q_macdougallii,-96.50382733,17.58471213
q_macdougallii,-96.50326328,17.58464178
q_macdougallii,-96.50294439,17.58454743
q_macdougallii,-96.5020269,17.58415649
q_macdougallii,-96.50184751,17.58419035
q_macdougallii,-96.50159565,17.58401556
q_macdougallii,-96.50231159,17.58399751
q_macdougallii,-96.5027297,17.58440924
q_macdougallii,-96.5047265,17.5850667
q_macdougallii,-96.50470717,17.58510258
q_macdougallii,-96.50509085,17.58527903
q_macdougallii,-96.50547292,17.58557288
q_macdougallii,-96.5059432,17.58561495
q_macdougallii,-96.50642413,17.58556682
q_macdougallii,-96.50682106,17.58546345
q_macdougallii,-96.51556809,17.58143695
q_macdougallii,-96.51562322,17.58153699
q_macdougallii,-96.51525393,17.5816859
q_macdougallii,-96.5148156,17.5813733
q_macdougallii,-96.51492559,17.58090501
q_macdougallii,-96.5150475,17.58094267
q_macdougallii,-96.51514251,17.58088064
q_macdougallii,-96.51512529,17.58076301
q_macdougallii,-96.51556312,17.58111173
q_macdougallii,-96.51574213,17.58110495
q_macdougallii,-96.51593874,17.58118871
q_macdougallii,-96.51621849,17.58139093
q_macdougallii,-96.51267062,17.58053343
q_macdougallii,-96.51234689,17.58010485
q_macdougallii,-96.51165521,17.5790394
q_macdougallii,-96.51111766,17.57840942
q_macdougallii,-96.53256892,17.61170881
q_macdougallii,-96.5312593,17.61243307
q_macdougallii,-96.5312555,17.61271301
q_macdougallii,-96.53103915,17.61269224
q_macdougallii,-96.53076065,17.61308617
q_macdougallii,-96.53047875,17.61303748
q_macdougallii,-96.53035547,17.61309916
q_macdougallii,-96.53010546,17.61347538
q_macdougallii,-96.5295189,17.61366675
q_macdougallii,-96.52799303,17.61436117
q_macdougallii,-96.52766621,17.61484481
q_macdougallii,-96.52588206,17.61513857
q_macdougallii,-96.52587326,17.6150933
q_macdougallii,-96.52479374,17.61482686
q_macdougallii,-96.52475072,17.61452826
q_macdougallii,-96.52480384,17.61408636
q_macdougallii,-96.52501675,17.61297808
q_macdougallii,-96.52501675,17.61297808
q_macdougallii,-96.52445497,17.61480455
q_macdougallii,-96.52455314,17.61520319
q_macdougallii,-96.47919179,17.39431414
q_macdougallii,-96.47907137,17.39417714
q_macdougallii,-96.47896767,17.39419389
q_macdougallii,-96.47894019,17.39413936
q_macdougallii,-96.47886322,17.39426483
q_macdougallii,-96.4487514,17.37867246
q_macdougallii,-96.4486654,17.3794481
q_macdougallii,-96.44872095,17.37951203
q_macdougallii,-96.44853136,17.37961799
q_macdougallii,-96.4485083,17.37992478
q_macdougallii,-96.44860762,17.38022409
q_macdougallii,-96.44850981,17.3804938
q_macdougallii,-96.4483162,17.38021134
q_macdougallii,-96.44808247,17.380109
q_macdougallii,-96.4479992,17.38000859
q_macdougallii,-96.44795946,17.38016162
q_macdougallii,-96.44835119,17.38040145
q_macdougallii,-96.44805915,17.38043385
q_macdougallii,-96.44786116,17.38046744
q_macdougallii,-96.44770153,17.38044734
q_macdougallii,-96.44737187,17.38047925
