"","especie","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19"
"1","specie",-96.283478,17.211757,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"2","specie",-96.283682,17.211372,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"3","specie",-96.284001,17.210931,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"4","specie",-96.284123,17.211936,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"5","specie",-96.284387,17.211543,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"6","specie",-96.284629,17.211182,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"7","specie",-96.283848,17.211551,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"8","specie",-96.284071,17.211831,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"9","specie",-96.284471,17.211029,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"10","specie",-96.284429,17.212271,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"11","specie",-96.284675,17.211813,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"12","specie",-96.284831,17.211546,144,125,71,1133,233,59,174,145,139,158,129,1339,249,19,83,712,64,130,114
"13","specie",-96.281732,17.205971,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
"14","specie",-96.281544,17.205751,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
"15","specie",-96.281434,17.205531,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
"16","specie",-96.281931,17.205521,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
"17","specie",-96.281801,17.205301,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
"18","specie",-96.281778,17.205123,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
"19","specie",-96.281528,17.204583,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
"20","specie",-96.281308,17.204353,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
"21","specie",-96.281198,17.204183,155,127,70,1292,245,65,180,158,148,171,137,1234,233,18,83,659,62,316,110
